Order Number,Toothbrush Type,Order Date,Customer Age,Order Quantity,Delivery Postcode,Billing Postcode,is_first,Dispatch Status,Dispatched Date,Delivery Status,Delivery Date
BRU00009300,Toothbrush 4000,2022-12-04 17:08:38.499591200,27,8,HU14%203HT,FY6 0PT,1,Dispatched,2022-12-05 00:23:13.748518400,In Transit,2022-12-05 01:18:07.422840800
BRU00009201,Toothbrush 2000,2022-12-05 04:45:35.592672800,86,2,BS16%202NX,BD22 0RA,1,Order Confirmed,2022-12-05 05:44:04.732362800,,
BRU00008942,Toothbrush 2000,2022-12-04 20:59:49.782750800,78,1,DY6%200JR,E3 2JF,1,Dispatched,2022-12-05 04:55:07.373532800,In Transit,2022-12-05 05:52:19.347172400
BRU00008935,Toothbrush 2000,2022-12-04 22:58:54.595683200,71,4,B72%201JJ,CM14 4ST,1,Dispatched,2022-12-05 06:56:24.134162000,Delivered,2022-12-06 15:55:24.243924800
BRU00009249,Toothbrush 2000,2022-12-05 09:03:40.007969999,76,6,GL51%200EG,CO1 2XH,1,Order Received,2022-12-05 09:16:41.880525599,,
BRU00009295,Toothbrush 4000,2022-12-05 00:01:49.219223999,39,9,HP2%204BW,CO5 7FB,1,Order Received,2022-12-05 00:13:14.807695199,,
BRU00009393,Toothbrush 2000,2022-12-04 15:48:12.748212000,74,5,BH12%205AA,B33 3FP,1,Order Received,2022-12-04 15:59:41.293406400,,
BRU00009241,Toothbrush 4000,2022-12-05 08:19:31.297592000,31,4,BL8%209UQ,CO6 1PQ,1,Order Received,2022-12-05 08:31:50.661660800,,
BRU00008924,Toothbrush 2000,2022-12-04 14:42:59.308846800,74,3,B61%208NE,EH24 9BN,1,Order Confirmed,2022-12-04 15:52:06.003403200,,
BRU00009621,Toothbrush 2000,2022-12-04 10:04:08.533026400,78,5,CV1%203DT,DN17 3QE,1,Order Confirmed,2022-12-04 11:10:11.245975600,,
BRU00009410,Toothbrush 2000,2022-12-04 23:16:01.127482800,72,2,CT4%206NW,BA16 0GA,1,Order Confirmed,2022-12-05 00:04:45.191846400,,
BRU00009554,Toothbrush 2000,2022-12-04 17:12:16.867769200,54,2,CT9%205HF,DH6 4JY,1,Dispatched,2022-12-04 23:45:10.340267200,Delivered,2022-12-06 00:08:20.147339200
BRU00009294,Toothbrush 2000,2022-12-05 08:27:07.317779600,88,1,EN8%201PW,DE22 4GB,1,Dispatched,2022-12-05 15:04:29.356566800,Delivered,2022-12-06 19:28:24.241420400
BRU00009574,Toothbrush 2000,2022-12-04 21:55:40.513740800,88,8,B60%209UH,EH10 6SJ,1,Order Received,2022-12-04 22:08:44.298789200,,
BRU00009614,Toothbrush 4000,2022-12-05 13:55:39.610064000,26,7,DE24%208ES,CV31 1EE,1,Order Confirmed,2022-12-05 15:11:27.752252000,,
BRU00008850,Toothbrush 2000,2022-12-05 02:25:31.216376000,94,4,DN40%202LZ,G81 6QY,1,Dispatched,2022-12-05 09:54:54.737468000,Delivered,2022-12-06 12:38:54.239478800
BRU00008770,Toothbrush 4000,2022-12-05 07:43:09.030674800,22,2,CB9%207QP,B26 1PD,1,Order Received,2022-12-05 07:55:32.119940800,,
BRU00008983,Toothbrush 4000,2022-12-05 05:09:52.429982400,16,3,EX4%209EY,BS10 6JN,1,Order Confirmed,2022-12-05 06:09:27.346723200,,
BRU00009640,Toothbrush 2000,2022-12-04 20:06:57.957388800,69,4,CA2%207JB,G70 6AF,1,Order Received,2022-12-04 20:19:07.079490000,,
BRU00009466,Toothbrush 4000,2022-12-04 22:23:31.703174400,36,3,HP15%206BH,AB23 8BL,1,Dispatched,2022-12-05 04:58:05.994050400,In Transit,2022-12-05 05:40:09.455299200
BRU00009036,Toothbrush 2000,2022-12-04 19:03:29.504234000,76,1,B24%208LS,EH53 0HH,1,Order Received,2022-12-04 19:15:41.654032400,,
BRU00009481,Toothbrush 4000,2022-12-05 15:04:34.006029200,28,4,HP4%203BB,BA1 8DP,1,Dispatched,2022-12-05 22:21:03.860747600,Delivered,2022-12-07 01:25:27.519189199
BRU00009648,Toothbrush 4000,2022-12-05 18:24:52.564611200,23,1,CB4%202NN,CF47 0PD,1,Order Received,2022-12-05 18:37:08.877719600,,
BRU00008936,Toothbrush 4000,2022-12-05 10:21:45.508661200,16,9,HP3%208SF,CM20 3LB,1,Order Confirmed,2022-12-05 11:37:18.514908400,,
BRU00008727,Toothbrush 4000,2022-12-05 15:56:33.992962000,38,2,CT3%204BZ,HA6 3PQ,1,Order Confirmed,2022-12-05 16:53:27.124097200,,
BRU00009002,Toothbrush 2000,2022-12-05 03:59:23.105558000,96,4,IP24%203TH,EX5 1PL,1,Order Confirmed,2022-12-05 04:51:26.122992800,,
BRU00009221,Toothbrush 4000,2022-12-05 00:54:49.150384400,15,8,CT4%205BS,BA21 5LF,1,Order Confirmed,2022-12-05 01:53:57.733236800,,
BRU00009223,Toothbrush 4000,2022-12-05 22:57:07.561594800,20,9,HP3%208AN,CH63 0JZ,1,Order Confirmed,2022-12-06 00:24:14.602885200,,
BRU00009321,Toothbrush 4000,2022-12-05 10:17:50.001861600,42,1,CV13%200RJ,DN37 9FB,1,Order Received,2022-12-05 10:29:00.809222400,,
BRU00009386,Toothbrush 4000,2022-12-05 17:01:12.171203600,28,9,AL5%201SY,DE56 0BA,1,Order Confirmed,2022-12-05 18:12:06.219416000,,
BRU00009485,Toothbrush 4000,2022-12-05 04:12:58.387185200,26,9,CW8%204SD,GU14 8DS,1,Dispatched,2022-12-05 12:14:25.263818000,Delivered,2022-12-06 11:25:26.002540400
BRU00009464,Toothbrush 4000,2022-12-04 20:33:06.633231200,23,2,B33%208DU,EH54 7DD,1,Dispatched,2022-12-05 03:24:54.351818000,In Transit,2022-12-05 04:24:12.771742400
BRU00009467,Toothbrush 2000,2022-12-05 11:09:00.320320400,63,4,CV10%200PG,BS15 4TE,1,Dispatched,2022-12-05 19:12:24.522324800,Delivered,2022-12-07 01:33:58.010799200
BRU00009527,Toothbrush 2000,2022-12-04 07:32:50.224159200,66,9,BR1%202RD,HA0 1NP,1,Dispatched,2022-12-04 14:46:44.138599200,Delivered,2022-12-05 19:29:43.927881600
BRU00009593,Toothbrush 2000,2022-12-05 01:08:42.107999600,84,9,HX6%201AD,CM23 5RG,1,Order Received,2022-12-05 01:20:22.081437200,,
BRU00009204,Toothbrush 2000,2022-12-05 09:22:59.910816400,67,3,BN3%202TN,GU8 6YP,1,Dispatched,2022-12-05 16:45:52.073147200,Delivered,2022-12-07 03:41:32.226410800
BRU00008690,Toothbrush 4000,2022-12-04 23:46:36.473695200,26,5,GU8%204HH,B16 6HD,1,Order Confirmed,2022-12-05 00:55:01.503424800,,
BRU00009580,Toothbrush 2000,2022-12-04 14:30:08.990008800,75,5,DA5%201PJ,CV37 9HA,1,Order Received,2022-12-04 14:42:51.587358000,,
BRU00009478,Toothbrush 2000,2022-12-04 15:07:48.657480000,74,2,IG4%205DP,GL14 3DB,1,Order Received,2022-12-04 15:20:12.686630400,,
BRU00009441,Toothbrush 2000,2022-12-04 12:55:51.898060800,87,1,CV1%205QA,DD2 3BR,1,Order Received,2022-12-04 13:07:03.425266800,,
BRU00009643,Toothbrush 2000,2022-12-04 20:53:47.249268000,68,7,HR6%200AT,DN36 4DX,1,Dispatched,2022-12-05 04:05:48.857247600,In Transit,2022-12-05 04:49:44.506221600
BRU00009076,Toothbrush 4000,2022-12-05 01:15:45.464113600,24,9,CH4%208PY,CT5 3BE,1,Order Confirmed,2022-12-05 02:32:49.214927199,,
BRU00008711,Toothbrush 2000,2022-12-04 21:40:29.515315200,49,7,EH26%208HG,AL7 2FF,1,Dispatched,2022-12-05 05:23:34.887726000,Delivered,2022-12-06 09:54:03.898455599
BRU00008718,Toothbrush 4000,2022-12-05 16:18:50.488030400,35,5,G32%206LD,BL2 4NA,1,Order Received,2022-12-05 16:30:53.226312800,,
BRU00008888,Toothbrush 2000,2022-12-05 07:37:49.892549600,56,1,DY10%204PH,BN3 8AD,1,Order Received,2022-12-05 07:49:51.196149200,,
BRU00009362,Toothbrush 4000,2022-12-05 00:40:26.738657600,22,7,CM11%201NF,EH21 6HL,1,Dispatched,2022-12-05 07:43:17.981042000,Delivered,2022-12-06 12:27:36.521469200
BRU00008952,Toothbrush 2000,2022-12-05 04:49:43.438943600,88,2,CH64%202UQ,CM9 6GR,1,Order Received,2022-12-05 05:01:45.052571600,,
BRU00009116,Toothbrush 4000,2022-12-05 15:59:11.455077200,30,9,B74%202QN,B37 7EE,1,Order Received,2022-12-05 16:11:12.030425600,,
BRU00009351,Toothbrush 4000,2022-12-04 20:45:19.219607200,28,8,CH62%205AF,CV34 6TT,1,Order Received,2022-12-04 20:57:52.936750000,,
BRU00009239,Toothbrush 4000,2022-12-04 22:38:51.503230800,24,4,BR4%209JS,BB2 7BD,1,Order Received,2022-12-04 22:50:55.856343600,,
BRU00009184,Toothbrush 2000,2022-12-04 22:46:05.555518000,81,5,B98%200QY,DT11 9HZ,1,Order Received,2022-12-04 22:58:24.826094800,,
BRU00009092,Toothbrush 4000,2022-12-04 14:59:29.586344400,41,5,G63%209DT,CM11 2NR,1,Order Received,2022-12-04 15:11:36.713278800,,
BRU00009171,Toothbrush 4000,2022-12-05 09:52:41.833968000,25,4,CM9%208XA,EN7 6RU,1,Dispatched,2022-12-05 17:22:06.465865200,Delivered,2022-12-06 15:17:30.037208400
BRU00009292,Toothbrush 4000,2022-12-05 12:01:42.315187200,26,4,CT6%207XG,EH45 9NP,1,Order Confirmed,2022-12-05 13:08:45.291466800,,
BRU00009622,Toothbrush 4000,2022-12-04 23:59:23.705501600,24,9,DE7%208WH,BA5 3AU,1,Dispatched,2022-12-05 07:06:19.492473200,Delivered,2022-12-06 07:02:16.310766800
BRU00009336,Toothbrush 4000,2022-12-05 14:13:50.203733600,33,7,HX6%202AY,HP4 3QL,1,Dispatched,2022-12-05 21:01:10.388842400,Delivered,2022-12-06 19:15:37.268032400
BRU00009148,Toothbrush 2000,2022-12-05 03:18:54.828774000,96,8,BD1%209QT,CF83 4GY,1,Order Confirmed,2022-12-05 04:11:08.957011200,,
BRU00009555,Toothbrush 4000,2022-12-05 10:20:08.158988400,23,2,G53%207ER,FY7 7AW,1,Order Confirmed,2022-12-05 11:33:47.427807600,,
BRU00009543,Toothbrush 2000,2022-12-04 20:47:30.882538400,78,1,CH66%201NE,CF47 9SW,1,Dispatched,2022-12-05 02:54:18.072274400,In Transit,2022-12-05 03:39:57.996807200
BRU00008719,Toothbrush 2000,2022-12-04 20:16:18.577672400,73,6,BB9%207SH,HA2 9AX,1,Order Received,2022-12-04 20:28:34.673402000,,
BRU00009629,Toothbrush 2000,2022-12-04 17:03:07.912862800,73,3,EH9%202LP,HU12 8XA,1,Order Confirmed,2022-12-04 18:04:39.859487200,,
BRU00009491,Toothbrush 4000,2022-12-05 07:34:37.566158400,37,9,EN9%201LW,CW1 6ZF,1,Dispatched,2022-12-05 14:55:17.326580400,Delivered,2022-12-06 20:04:16.969575600
BRU00008844,Toothbrush 2000,2022-12-04 20:22:31.233399600,78,5,BB5%206DB,CV21 2XU,1,Dispatched,2022-12-05 03:06:14.840514000,In Transit,2022-12-05 03:47:08.674771200
BRU00008947,Toothbrush 2000,2022-12-05 08:41:32.172756399,74,3,GU8%204JJ,IM5 3BX,1,Dispatched,2022-12-05 16:07:13.278936399,Delivered,2022-12-06 15:15:23.762041599
BRU00009031,Toothbrush 2000,2022-12-04 15:54:12.165058000,90,7,E17%205EE,BL2 2JZ,1,Order Received,2022-12-04 16:06:52.486998400,,
BRU00008818,Toothbrush 4000,2022-12-05 08:23:35.976027200,18,7,CR0%206YB,EX6 8RG,1,Order Confirmed,2022-12-05 09:38:42.438426800,,
BRU00009138,Toothbrush 2000,2022-12-04 19:50:52.659486400,79,4,HG5%208PJ,BN12 4LR,1,Order Confirmed,2022-12-04 21:03:36.422911600,,
BRU00008696,Toothbrush 2000,2022-12-05 04:10:07.091435600,74,2,EX32%208PL,BR5 4JW,1,Dispatched,2022-12-05 10:37:48.949391600,Delivered,2022-12-06 16:34:29.673612800
BRU00008991,Toothbrush 4000,2022-12-04 13:01:16.741290400,32,5,DN21%205DN,B60 4ER,1,Order Confirmed,2022-12-04 14:35:03.400393599,,
BRU00009161,Toothbrush 4000,2022-12-05 12:45:06.082864000,37,4,G12%208JR,AB41 8YT,1,Dispatched,2022-12-05 19:43:22.099132000,Delivered,2022-12-06 17:04:35.377148800
BRU00009384,Toothbrush 4000,2022-12-04 18:06:53.117322400,33,7,CF24%201LW,BD20 8PT,1,Order Received,2022-12-04 18:18:50.818261600,,
BRU00008804,Toothbrush 2000,2022-12-04 19:55:10.034041200,67,1,BA12%206HT,DD6 8QZ,1,Order Confirmed,2022-12-04 21:03:53.186815200,,
BRU00009297,Toothbrush 2000,2022-12-04 23:47:38.004123200,76,9,HU11%204GA,G81 6HJ,1,Dispatched,2022-12-05 06:56:25.432574000,Delivered,2022-12-06 09:46:58.065528800
BRU00008891,Toothbrush 4000,2022-12-05 11:32:09.595729200,29,9,CH63%209NS,DY1 1HF,1,Dispatched,2022-12-05 18:35:39.997628400,Delivered,2022-12-06 14:32:16.596253200
BRU00008694,Toothbrush 4000,2022-12-05 15:22:25.420256000,9,7,AB55%205NX,DN37 7AA,1,Dispatched,2022-12-05 22:53:11.165992400,Delivered,2022-12-06 19:16:01.425154400
BRU00009142,Toothbrush 2000,2022-12-05 01:42:23.037386800,74,4,G61%203DT,HP7 9BJ,1,Dispatched,2022-12-05 08:56:30.375157600,Delivered,2022-12-06 02:43:34.050644800
BRU00009326,Toothbrush 4000,2022-12-04 19:32:13.945030800,29,3,GU1%204ND,BD22 7SW,1,Order Confirmed,2022-12-04 20:30:55.470733200,,
BRU00009537,Toothbrush 4000,2022-12-05 02:05:49.550950800,33,8,DL7%209DS,BN14 7FH,1,Order Received,2022-12-05 02:17:31.547620800,,
BRU00009431,Toothbrush 2000,2022-12-05 07:01:09.338183600,86,7,B31%201SJ,BN21 1EU,1,Dispatched,2022-12-05 15:07:57.902324000,Delivered,2022-12-06 12:23:44.641584800
BRU00009391,Toothbrush 2000,2022-12-04 16:52:05.511884800,67,3,DD5%204SE,GU47 8AB,1,Order Confirmed,2022-12-04 17:58:38.268947200,,
BRU00009183,Toothbrush 2000,2022-12-04 17:10:09.862011600,60,9,DD11%202PJ,B15 3RZ,1,Dispatched,2022-12-05 00:02:34.578943200,In Transit,2022-12-05 00:47:44.775921600
BRU00009489,Toothbrush 4000,2022-12-05 12:18:16.900809600,22,1,EX16%206PA,CT4 6RP,1,Order Confirmed,2022-12-05 13:27:16.177519200,,
BRU00008945,Toothbrush 2000,2022-12-05 07:55:14.055049599,64,3,DN14%205AR,BB10 3PL,1,Order Received,2022-12-05 08:06:28.034431599,,
BRU00008870,Toothbrush 4000,2022-12-05 14:42:25.881627600,16,4,AB21%207GQ,GY1 6AB,1,Order Received,2022-12-05 14:55:15.615897600,,
BRU00009070,Toothbrush 2000,2022-12-05 07:17:46.217517200,76,3,BA11%202RJ,AB39 3UJ,1,Dispatched,2022-12-05 15:48:46.043184800,Delivered,2022-12-06 23:11:27.523905200
BRU00008817,Toothbrush 4000,2022-12-05 04:17:29.152387600,12,9,DY6%207HS,BH24 2SD,1,Dispatched,2022-12-05 11:18:01.171997199,Delivered,2022-12-06 18:41:31.846994799
BRU00009667,Toothbrush 4000,2022-12-05 04:45:17.742165199,17,6,DN40%209AW,BR1 2EE,1,Order Confirmed,2022-12-05 05:33:56.658028399,,
BRU00009356,Toothbrush 2000,2022-12-04 23:41:15.735048400,80,9,BN13%203AJ,DN14 9LY,1,Order Received,2022-12-04 23:54:01.109254000,,
BRU00009494,Toothbrush 2000,2022-12-04 19:25:31.698994400,80,4,CM77%208NP,DG1 4HB,1,Dispatched,2022-12-05 03:26:07.781902400,In Transit,2022-12-05 04:31:16.761042800
BRU00009279,Toothbrush 2000,2022-12-04 18:40:49.045556400,67,4,BH16%205BT,DH8 5YA,1,Dispatched,2022-12-05 01:03:08.700859200,In Transit,2022-12-05 02:17:51.309694800
BRU00008877,Toothbrush 2000,2022-12-04 13:04:14.665382000,62,1,EX6%207LQ,BH12 2HE,1,Dispatched,2022-12-04 20:27:41.913590000,Delivered,2022-12-06 03:54:25.860552800
BRU00008972,Toothbrush 2000,2022-12-04 12:19:20.204885200,79,1,EX17%204HF,G77 5RJ,1,Dispatched,2022-12-04 19:17:19.011137200,Delivered,2022-12-05 19:44:11.684042800
BRU00008958,Toothbrush 4000,2022-12-04 16:06:39.270026000,3,2,HD6%202DN,HA8 8RU,1,Order Received,2022-12-04 16:20:03.755686400,,
BRU00008794,Toothbrush 4000,2022-12-05 14:20:51.459988400,41,8,DT4%209JE,E2 6QD,1,Order Confirmed,2022-12-05 15:01:26.662218800,,
BRU00009625,Toothbrush 2000,2022-12-04 16:15:02.312857600,69,6,DT3%206SY,CF37 5DS,1,Order Received,2022-12-04 16:27:31.289837200,,
BRU00009293,Toothbrush 4000,2022-12-05 01:28:46.683252400,24,5,HD9%205QP,IG8 0SL,1,Order Confirmed,2022-12-05 02:41:44.182466800,,
BRU00008920,Toothbrush 2000,2022-12-04 20:13:21.220245200,72,3,BD15%200AD,DN36 5PR,1,Order Received,2022-12-04 20:26:11.392358000,,
BRU00009163,Toothbrush 4000,2022-12-05 07:41:48.207928800,37,4,CM20%209TA,CH7 6AX,1,Order Confirmed,2022-12-05 08:57:06.649054800,,
BRU00009198,Toothbrush 4000,2022-12-05 10:37:56.647422400,16,6,BA2%207RA,BD1 5UH,1,Dispatched,2022-12-05 17:48:36.516599200,Delivered,2022-12-06 17:32:51.814211200
BRU00008695,Toothbrush 2000,2022-12-04 15:30:57.907308000,90,4,FY8%201PA,CV6 4JX,1,Order Received,2022-12-04 15:42:42.608917200,,
BRU00008953,Toothbrush 4000,2022-12-04 22:05:27.338275600,39,6,HX7%208NN,HA5 5SN,1,Order Received,2022-12-04 22:17:33.784129600,,
BRU00009379,Toothbrush 4000,2022-12-04 22:47:34.263790800,20,3,BA3%202EP,BS22 8AG,1,Order Received,2022-12-04 23:00:48.032100000,,
BRU00009596,Toothbrush 4000,2022-12-05 09:39:27.703274000,16,6,CF61%202ZB,BR3 6QS,1,Dispatched,2022-12-05 17:42:41.369457200,Delivered,2022-12-06 16:52:22.259412800
BRU00009568,Toothbrush 4000,2022-12-05 20:55:11.803067200,40,7,HA0%202NR,EH39 4BU,1,Order Confirmed,2022-12-05 22:16:00.245490400,,
BRU00008967,Toothbrush 4000,2022-12-05 02:02:41.257466400,30,7,CA2%206LY,EX4 8NE,1,Dispatched,2022-12-05 08:12:58.595301600,Delivered,2022-12-07 03:06:45.012501600
BRU00008933,Toothbrush 4000,2022-12-05 16:38:06.693722000,34,3,G82%204JD,B91 3YE,1,Dispatched,2022-12-05 23:38:15.727799600,Delivered,2022-12-07 05:03:00.581574800
BRU00008943,Toothbrush 4000,2022-12-05 12:35:41.488877599,32,2,EH3%206AQ,EX3 0LY,1,Order Confirmed,2022-12-05 13:53:32.731999999,,
BRU00008724,Toothbrush 2000,2022-12-04 19:07:09.649309200,75,7,EX20%203EW,G21 1AL,1,Dispatched,2022-12-05 03:08:18.793818000,In Transit,2022-12-05 04:23:35.721856800
BRU00008849,Toothbrush 2000,2022-12-05 00:38:50.223383200,75,8,IM8%201AF,E9 5JY,1,Order Confirmed,2022-12-05 01:36:36.931903600,,
BRU00008701,Toothbrush 2000,2022-12-04 11:49:34.497523999,86,9,HD9%207ES,DD8 1TD,1,Order Received,2022-12-04 12:01:08.471737999,,
BRU00009433,Toothbrush 2000,2022-12-05 08:34:33.495449200,60,8,BL3%204UF,CH62 4UW,1,Order Confirmed,2022-12-05 09:20:03.283969600,,
BRU00009511,Toothbrush 2000,2022-12-05 00:22:06.610650800,90,7,CO4%205JN,CV21 1LH,1,Dispatched,2022-12-05 07:10:03.730784000,Delivered,2022-12-06 10:50:42.121412
BRU00009037,Toothbrush 4000,2022-12-05 05:53:08.338847200,23,6,HA2%200AL,HR6 8EW,1,Order Received,2022-12-05 06:04:57.798144400,,
BRU00009429,Toothbrush 4000,2022-12-05 19:53:43.932390400,27,3,B43%207AR,HP20 1DP,1,Dispatched,2022-12-06 04:11:10.363567600,In Transit,2022-12-06 05:27:13.362991600
BRU00009415,Toothbrush 2000,2022-12-04 23:33:33.131957600,60,7,DE14%203RG,BD21 1QQ,1,Order Confirmed,2022-12-05 00:33:52.879854800,,
BRU00008965,Toothbrush 2000,2022-12-04 18:36:51.077699200,73,5,CH49%204AA,CR4 4FQ,1,Dispatched,2022-12-05 02:35:18.337235200,In Transit,2022-12-05 03:20:46.326846400
BRU00008984,Toothbrush 4000,2022-12-05 13:03:44.952134800,24,5,EH3%209QB,EX2 8EZ,1,Order Received,2022-12-05 13:15:17.485441600,,
BRU00009490,Toothbrush 2000,2022-12-04 21:21:18.499228400,74,7,CV13%200SD,B67 7AH,1,Order Received,2022-12-04 21:34:17.802435200,,
BRU00009572,Toothbrush 2000,2022-12-05 05:52:31.087445200,95,3,BD19%203HJ,G66 1SS,1,Order Confirmed,2022-12-05 06:46:00.234264400,,
BRU00009615,Toothbrush 2000,2022-12-04 16:53:50.167185200,77,8,DN6%207UX,BS3 9HU,1,Order Confirmed,2022-12-04 18:08:10.423138400,,
BRU00009016,Toothbrush 4000,2022-12-05 05:44:14.432731200,27,3,DD10%200PT,BH11 9PL,1,Order Received,2022-12-05 05:56:14.850306000,,
BRU00009389,Toothbrush 2000,2022-12-05 05:40:17.486386800,82,9,DA7%205NB,BA1 6AB,1,Order Confirmed,2022-12-05 06:44:06.865790399,,
BRU00008848,Toothbrush 2000,2022-12-04 12:14:49.092121200,76,2,BS16%202FT,DE75 7YS,1,Order Confirmed,2022-12-04 13:06:28.941118800,,
BRU00009604,Toothbrush 4000,2022-12-05 15:44:54.453861200,28,3,GU24%209RU,DE21 4TS,1,Dispatched,2022-12-05 23:35:05.364426800,Delivered,2022-12-06 21:45:33.322701200
BRU00009019,Toothbrush 4000,2022-12-05 04:00:02.604760800,33,1,CO2%209BY,CV9 1PW,1,Order Confirmed,2022-12-05 05:11:10.610428800,,
BRU00009652,Toothbrush 4000,2022-12-05 00:32:10.406385200,26,9,DE7%205AX,EX39 4PA,1,Dispatched,2022-12-05 07:32:48.695459600,Delivered,2022-12-06 12:21:18.340178
BRU00009203,Toothbrush 2000,2022-12-04 16:01:42.861346800,84,6,GL14%202LF,CV1 5AE,1,Order Received,2022-12-04 16:13:42.401569200,,
BRU00008914,Toothbrush 2000,2022-12-04 21:43:12.668288400,74,3,EH32%209QS,B18 5SQ,1,Order Received,2022-12-04 21:55:14.398243200,,
BRU00008893,Toothbrush 2000,2022-12-05 01:13:31.068176400,58,2,CA7%201LF,IG6 3AQ,1,Order Received,2022-12-05 01:25:07.497939600,,
BRU00008997,Toothbrush 2000,2022-12-04 10:04:30.800368800,105,1,BH12%203GE,FY6 8LX,1,Order Confirmed,2022-12-04 11:07:23.491483200,,
BRU00009074,Toothbrush 4000,2022-12-04 15:26:02.381541600,24,9,EH47%208AL,CM24 8EL,1,Dispatched,2022-12-04 22:46:42.585872400,Delivered,2022-12-06 03:26:12.327308400
BRU00008885,Toothbrush 4000,2022-12-05 09:54:43.136416400,20,1,HA2%206NH,CM15 8HX,1,Order Received,2022-12-05 10:06:21.351898400,,
BRU00009080,Toothbrush 2000,2022-12-05 00:04:02.005472000,107,6,G84%209PW,GU24 0LT,1,Order Confirmed,2022-12-05 01:07:03.522965600,,
BRU00009663,Toothbrush 2000,2022-12-04 21:11:33.514518800,80,1,BS2%200TA,IP29 4RB,1,Dispatched,2022-12-05 04:53:18.728166800,In Transit,2022-12-05 05:39:01.819580
BRU00008852,Toothbrush 4000,2022-12-05 08:54:49.704366000,30,1,B69%202JD,DY11 6JH,1,Order Confirmed,2022-12-05 10:03:33.282526800,,
BRU00009418,Toothbrush 4000,2022-12-05 22:36:55.178690800,22,5,DH8%207SU,E17 3EJ,1,Order Received,2022-12-05 22:48:51.371748400,,
BRU00009449,Toothbrush 2000,2022-12-04 17:00:33.588417200,70,4,E3%205ND,BH15 3BZ,1,Order Received,2022-12-04 17:13:19.263737600,,
BRU00008912,Toothbrush 4000,2022-12-04 22:50:53.355152800,20,9,BR8%207SU,DN12 3NS,1,Order Received,2022-12-04 23:03:06.434694400,,
BRU00008785,Toothbrush 4000,2022-12-04 22:42:31.130904800,7,2,BH12%205AN,BL5 1AA,1,Order Confirmed,2022-12-04 23:47:37.086408800,,
BRU00009078,Toothbrush 2000,2022-12-05 02:26:44.564022800,73,1,EX23%200NG,CF40 2EU,1,Order Confirmed,2022-12-05 03:20:50.047305200,,
BRU00008869,Toothbrush 2000,2022-12-05 04:28:59.697974800,55,8,B71%203DA,BD19 6JH,1,Order Confirmed,2022-12-05 05:41:18.525895600,,
BRU00009131,Toothbrush 2000,2022-12-04 13:13:16.812173199,52,5,CH6%206HF,HD2 1EU,1,Order Confirmed,2022-12-04 14:14:34.587296799,,
BRU00008773,Toothbrush 2000,2022-12-04 18:07:00.799390800,84,1,EX31%203FU,EX14 4XW,1,Order Confirmed,2022-12-04 19:11:23.542352399,,
BRU00009285,Toothbrush 4000,2022-12-05 15:44:43.277576000,12,2,GY7%209SQ,BB2 5JA,1,Order Confirmed,2022-12-05 16:44:19.345312400,,
BRU00009103,Toothbrush 2000,2022-12-05 13:47:33.757595600,89,5,EX2%209HL,CV33 9PE,1,Order Received,2022-12-05 13:58:42.077327600,,
